State,STCNTY,Variable,Census_count,H0_count,H1_count,H0_inf_count,H1_inf_count,H1_withou_inf_count,H0_withou_inf_count,census_count
GA,13009,EP_POV,9,9,0,1,0,0.0,8.0,9.0
GA,13009,EP_UNEMP,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_NOHSDP,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_UNINSUR,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_AGE65,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_AGE17,9,9,0,1,0,0.0,8.0,9.0
GA,13009,EP_DISABL,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_SNGPNT,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_LIMENG,9,8,1,1,0,1.0,7.0,9.0
GA,13009,EP_MINRTY,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_MUNIT,9,8,1,1,0,1.0,7.0,9.0
GA,13009,EP_MOBILE,9,9,0,1,0,0.0,8.0,9.0
GA,13009,EP_CROWD,9,8,1,1,0,1.0,7.0,9.0
GA,13009,EP_NOVEH,9,9,1,1,0,1.0,8.0,9.0
GA,13009,EP_GROUPQ,9,9,0,1,0,0.0,8.0,9.0
GA,13013,EP_POV,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_UNEMP,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_NOHSDP,18,18,2,1,0,2.0,17.0,18.0
GA,13013,EP_UNINSUR,18,18,2,1,0,2.0,17.0,18.0
GA,13013,EP_AGE65,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_AGE17,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_DISABL,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_SNGPNT,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_LIMENG,18,18,2,1,0,2.0,17.0,18.0
GA,13013,EP_MINRTY,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_MUNIT,18,12,1,1,0,1.0,11.0,18.0
GA,13013,EP_MOBILE,18,18,2,1,0,2.0,17.0,18.0
GA,13013,EP_CROWD,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_NOVEH,18,18,1,1,0,1.0,17.0,18.0
GA,13013,EP_GROUPQ,18,5,1,1,0,1.0,4.0,18.0
GA,13015,EP_POV,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_UNEMP,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_NOHSDP,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_UNINSUR,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_AGE65,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_AGE17,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_DISABL,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_SNGPNT,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_LIMENG,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_MINRTY,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_MUNIT,15,10,0,1,0,0.0,9.0,15.0
GA,13015,EP_MOBILE,15,15,0,1,0,0.0,14.0,15.0
GA,13015,EP_CROWD,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_NOVEH,15,15,1,1,0,1.0,14.0,15.0
GA,13015,EP_GROUPQ,15,11,1,1,0,1.0,10.0,15.0
GA,13017,EP_POV,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_UNEMP,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_NOHSDP,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_UNINSUR,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_AGE65,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_AGE17,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_DISABL,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_SNGPNT,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_LIMENG,5,3,0,1,0,0.0,2.0,5.0
GA,13017,EP_MINRTY,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_MUNIT,5,3,0,1,0,0.0,2.0,5.0
GA,13017,EP_MOBILE,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_CROWD,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_NOVEH,5,5,0,1,0,0.0,4.0,5.0
GA,13017,EP_GROUPQ,5,3,0,1,0,0.0,2.0,5.0
GA,13019,EP_POV,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_UNEMP,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_NOHSDP,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_UNINSUR,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_AGE65,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_AGE17,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_DISABL,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_SNGPNT,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_LIMENG,6,5,0,1,0,0.0,4.0,6.0
GA,13019,EP_MINRTY,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_MUNIT,6,2,0,1,0,0.0,1.0,6.0
GA,13019,EP_MOBILE,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_CROWD,6,5,0,1,0,0.0,4.0,6.0
GA,13019,EP_NOVEH,6,6,0,1,0,0.0,5.0,6.0
GA,13019,EP_GROUPQ,6,4,0,1,0,0.0,3.0,6.0
GA,13021,EP_POV,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_UNEMP,44,44,7,1,0,7.0,43.0,44.0
GA,13021,EP_NOHSDP,44,44,6,1,0,6.0,43.0,44.0
GA,13021,EP_UNINSUR,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_AGE65,44,44,2,1,0,2.0,43.0,44.0
GA,13021,EP_AGE17,44,44,6,1,0,6.0,43.0,44.0
GA,13021,EP_DISABL,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_SNGPNT,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_LIMENG,44,30,6,1,0,6.0,29.0,44.0
GA,13021,EP_MINRTY,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_MUNIT,44,40,4,1,0,4.0,39.0,44.0
GA,13021,EP_MOBILE,44,27,2,1,0,2.0,26.0,44.0
GA,13021,EP_CROWD,44,39,5,1,0,5.0,38.0,44.0
GA,13021,EP_NOVEH,44,44,5,1,0,5.0,43.0,44.0
GA,13021,EP_GROUPQ,44,35,4,1,0,4.0,34.0,44.0
GA,13027,EP_POV,5,5,1,1,0,1.0,4.0,5.0
GA,13027,EP_UNEMP,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_NOHSDP,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_UNINSUR,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_AGE65,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_AGE17,5,5,1,1,0,1.0,4.0,5.0
GA,13027,EP_DISABL,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_SNGPNT,5,5,1,1,0,1.0,4.0,5.0
GA,13027,EP_LIMENG,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_MINRTY,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_MUNIT,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_MOBILE,5,5,0,1,0,0.0,4.0,5.0
GA,13027,EP_CROWD,5,5,1,1,0,1.0,4.0,5.0
GA,13027,EP_NOVEH,5,5,1,1,0,1.0,4.0,5.0
GA,13027,EP_GROUPQ,5,4,0,1,0,0.0,3.0,5.0
GA,13029,EP_POV,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_UNEMP,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_NOHSDP,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_UNINSUR,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_AGE65,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_AGE17,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_DISABL,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_SNGPNT,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_LIMENG,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_MINRTY,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_MUNIT,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_MOBILE,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_CROWD,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_NOVEH,6,6,0,2,0,0.0,4.0,6.0
GA,13029,EP_GROUPQ,6,3,0,2,0,0.0,1.0,6.0
GA,13031,EP_POV,12,12,1,1,0,1.0,11.0,12.0
GA,13031,EP_UNEMP,12,12,1,1,0,1.0,11.0,12.0
GA,13031,EP_NOHSDP,12,12,2,1,0,2.0,11.0,12.0
GA,13031,EP_UNINSUR,12,12,1,1,0,1.0,11.0,12.0
GA,13031,EP_AGE65,12,12,0,1,0,0.0,11.0,12.0
GA,13031,EP_AGE17,12,12,0,1,0,0.0,11.0,12.0
GA,13031,EP_DISABL,12,12,0,1,0,0.0,11.0,12.0
GA,13031,EP_SNGPNT,12,12,0,1,0,0.0,11.0,12.0
GA,13031,EP_LIMENG,12,10,1,1,0,1.0,9.0,12.0
GA,13031,EP_MINRTY,12,12,2,1,0,2.0,11.0,12.0
GA,13031,EP_MUNIT,12,11,1,1,0,1.0,10.0,12.0
GA,13031,EP_MOBILE,12,12,0,1,0,0.0,11.0,12.0
GA,13031,EP_CROWD,12,12,2,1,0,2.0,11.0,12.0
GA,13031,EP_NOVEH,12,12,1,1,0,1.0,11.0,12.0
GA,13031,EP_GROUPQ,12,11,1,1,0,1.0,10.0,12.0
GA,13033,EP_POV,6,6,1,1,0,1.0,5.0,6.0
GA,13033,EP_UNEMP,6,6,0,1,0,0.0,5.0,6.0
GA,13033,EP_NOHSDP,6,6,0,1,0,0.0,5.0,6.0
